UserAgentString,Vendor,Manufacturer,Model
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G928P Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G928P
"Mozilla/5.0 (Linux; Android 5.1; XT1254 Build/SU4TL-49; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256230.8487000.1)",,,
,null,null,UnKnown
,Motorola,Motorola,XT1254
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G928F Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G928F
"Mozilla/5.0 (Linux; Android 5.1; Z958 Build/LMY47O; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,ZTE,ZTE,Z958
"Mozilla/5.0 (Linux; Android 5.1.1; 5054N Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36",,,
,null,null,UnKnown
,Alcatel,Alcatel,5054N
"Mozilla/5.0 (Linux; Android 4.4.4; Y635-L01 Build/HuaweiY635-L01) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,null,UnKnown
,Huawei,Huawei,Y635-L01
"Mozilla/5.0 (Linux; Android 4.4.4; SM-J110F Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J110F
"Mozilla/5.0 (Linux; Android 4.4.4; SM-J100MU Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J100MU
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G925I Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G925I
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G860P Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Sprint,Samsung,SM-G860P
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J320M Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J320M
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J200M Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J200M
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G531BT Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G531BT
"Mozilla/5.0 (Linux; Android 5.1.1; 5017B Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Alcatel,Alcatel,5017B
"Mozilla/5.0 (Linux; Android 6.0; LG-H900 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,LG,UnKnown
,LG,LG,H900
"Mozilla/5.0 (Linux; Android 6.0; LG-H810 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,LG,UnKnown
,AT&T,LG,H810
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G920F Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G920F
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G530T1 Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G530T1
"Mozilla/5.0 (Linux; Android 5.0.2; 6045O Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Alcatel,Alcatel,6045O
"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700T Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,UnKnown
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920V Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256440.6587000.1)",,,
,null,Samsung,UnKnown
,Verizon,Samsung,SM-G920V
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J320F Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J320F
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G920V Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Verizon,Samsung,SM-G920V
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G531F Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G531F
"Mozilla/5.0 (Linux; Android 4.4.2; Tab2A7-10F Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36",,,
,null,null,UnKnown
,Lenovo,Lenovo,A7-10F
"Mozilla/5.0 (Linux; Android 4.4.2; SM-G110B Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G110B
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J200BT Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J200BT
"Mozilla/5.0 (Linux; Android 5.0.2; SM-G530FZ Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G530FZ
"Mozilla/5.0 (Linux; Android 5.0.2; SM-A300F Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-A300F
"Mozilla/5.0 (Linux; Android 6.0.1; SM-N920T Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256440.6587000.1)",,,
,null,Samsung,UnKnown
,T-Mobile,Samsung,SM-N920T
"Mozilla/5.0 (Linux; Android 5.1; Z820 Build/LMY47D; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,ZTE,ZTE,Z820
"Mozilla/5.0 (Linux; U; Android 4.3; en-us; C6530N Build/JLS36C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",,,
,null,null,UnKnown
,Kyocera,Kyocera,C6530N
"Mozilla/5.0 (Linux; Android 6.0; LG-H815 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,LG,UnKnown
,LG,LG,H815
"Mozilla/5.0 (Linux; Android 5.1; Z812 Build/LMY47O; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/42.0.2311.137 Mobile Safari/537.36",,,
,null,null,UnKnown
,ZTE,ZTE,Z812
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J500F Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J500F
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J105B Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J105B
"Mozilla/5.0 (Linux; Android 5.0.2; SM-A500M Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-A500M
"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-J320AZ Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256436.6587000.1)",,,
,null,Samsung,UnKnown
,Cricket,Samsung,SM-J320AZ
"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-J320A Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J320A
"Mozilla/5.0 (Linux; Android 5.1; HUAWEI RIO-L01 Build/HuaweiRIO-L01) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/39.0.0.0 Mobile Safari/537.36",,,
,null,Huawei,UnKnown
,Huawei,Huawei,RIO-L01
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J700H Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J700H
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J500H Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J500H
"Mozilla/5.0 (Linux; Android 5.1.1; LG-H631 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,LG,UnKnown
,T-Mobile,LG,H631
"Mozilla/5.0 (Linux; Android 5.1.1; KYOCERA-C6745 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Kyocera,Kyocera,C6745
"ADmantX Platform Semantic Analyzer Appnexus - ADmantX Inc. - www.admantx.com - support@admantx.com",,,
,null,null,UnKnown
,null,null,UnKnown
"Words HD Free 7.02 (iPad; iPhone OS 9.3.2; en_US)",,,
,null,null,UnKnown
,null,null,UnKnown
"Mozilla/5.0 (Linux; U; Android 4.3; en-us; SM-S975L Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-S975L
"Mozilla/5.0 (Linux; Android 6.0.1; SM-N910H Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-N910H
"Mozilla/5.0 (Linux; Android 4.4.2; Tab2A7-20F Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36",,,
,null,null,UnKnown
,Lenovo,Lenovo,A7-20F
"Opera/9.80 (Android; Opera Mini/7.6.40234/37.8743; U; en) Presto/2.12.423 Version/12.16",,,
,null,null,UnKnown
,null,null,UnKnown
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J700F Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J700F
"Mozilla/5.0 (Linux; Android 4.4.2; T1 7.0 Build/HuaweiMediaPad) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36",,,
,null,null,UnKnown
,Huawei,Huawei,T1-701u
"Mozilla/5.0 (Linux; Android 4.4.2; SM-G800F Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G800F
"Mozilla/5.0 (Linux; Android 4.4.2; etab5 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36",,,
,null,null,UnKnown
,General Mobile,General Mobile,E-Tab 5
"Mozilla/5.0 (Linux; Android 6.0.1; SM-N920R4 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-N920R4
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G920F
"Mozilla/5.0 (Linux; Android 4.4.2; 0PCV1 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36",,,
,null,null,UnKnown
,HTC,HTC,Desire 510
"Mozilla/5.0 (Linux; Android 6.0; HTC6535LVW Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,HTC,UnKnown
,HTC,HTC,6535LVW
"Mozilla/5.0 (Linux; Android 6.0.1; SM-N920V Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256440.8487000.1)",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-N920V
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/48.0.2564.106 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Verizon,Samsung,SM-G930V
"Mozilla/5.0 (Linux; Android 5.1; XT1254 Build/SU4TL-49) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Motorola,Motorola,XT1254
"Mozilla/5.0 (Linux; Android 5.1; HTCD200LVW Build/LMY47O; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,HTC,UnKnown
,HTC,HTC,Desire 526
"Mozilla/5.0 (Linux; Android 5.1.1; VS425PP Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Verizon,LG,VS425PP
"Mozilla/5.0 (Linux; Android 5.1.1; LG-H345 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,LG,UnKnown
,LG,LG,H345
"Mozilla/5.0 (Linux; Android 4.4.4; Z987 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,null,UnKnown
,ZTE,ZTE,Z987
"Mozilla/5.0 (Linux; Android 4.4.4; D5103 Build/18.1.A.2.25) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,null,UnKnown
,Sony,Sony,D5103
"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6P Build/MTC19X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Google,Huawei,Nexus 6P
"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6 Build/MOB30O; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Google,Motorola,Nexus 6
"Mozilla/5.0 (Linux; Android 5.1.1; SM-E500H Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-E500H
"Mozilla/5.0 (Linux; Android 5.1.1; LG-H343 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,LG,UnKnown
,LG,LG,H343
"Mozilla/5.0 (Linux; Android 5.1.1; KIW-L21 Build/HONORKIW-L21) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/39.0.0.0 Mobile Safari/537.36",,,
,null,null,UnKnown
,Huawei,Huawei,KIW-L21
"Mozilla/5.0 (Linux; Android 4.4.4; SM-G530F Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G530F
"Mozilla/5.0 (Linux; U; Android 4.3; en-us; SM-S765C Build/JLS36C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-S765C
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930T Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256440.6587000.1)",,,
,null,Samsung,UnKnown
,T-Mobile,Samsung,SM-G930T
"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-J120AZ Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,null,Samsung,UnKnown
"Mozilla/5.0 (Linux; Android 5.1.1; Z959 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,ZTE,ZTE,Z959
"Mozilla/5.0 (Linux; Android 5.1.1; SM-N7505 Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-N7505
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J500H Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J500H
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J200H Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J200H
"Mozilla/5.0 (Linux; Android 4.4.4; SM-N910T Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,T-Mobile,Samsung,SM-N910T
"Mozilla/5.0 (Linux; Android 4.4.4; 5042T Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36",,,
,null,null,UnKnown
,Alcatel,Alcatel,5042T
"Mozilla/5.0 (Linux; Android 4.4.2; VS415PP Build/KOT49I.VS415PP2) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36",,,
,null,null,UnKnown
,Verizon,LG,VS415PP
"Mozilla/5.0 (Linux; Android 4.4.2; SM-S902L Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-S902L
"Mozilla/5.0 (Linux; Android 4.4.2; SM-N7505 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-N7505
"talkmeim/9037 CFNetwork/758.4.3 Darwin/15.5.0",,,
,null,null,UnKnown
,null,null,UnKnown
"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700T1 Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,UnKnown
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256440.8487000.1)",,,
,null,Samsung,UnKnown
,Verizon,Samsung,SM-G930V
"Mozilla/5.0 (Linux; Android 6.0.1; A0001 Build/MHC19Q; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,OnePlus,OnePlus,A0001
"Mozilla/5.0 (Linux; Android 5.1; 5015A Build/LMY47I; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Alcatel,Alcatel,5015A
"Mozilla/5.0 (Linux; Android 5.1.1; SM-J110M Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-J110M
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G531M Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G531M
"Words 7.70 (iPhone; iPhone OS 9.3.2; en_US)",,,
,null,null,UnKnown
,null,null,UnKnown
"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",,,
,null,null,Non-Mobile
,null,null,Non-Mobile
"Mozilla/5.0 (Linux; Android 6.0; XT1078 Build/MPB24.65-34; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Motorola,Motorola,XT1078
"Mozilla/5.0 (Linux; Android 6.0.1; XT1563 Build/MPD24.107-52; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,null,UnKnown
,Motorola,Motorola,XT1563
"Mozilla/5.0 (Linux; Android 6.0.1; SM-N910V Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256430.8487000.1)",,,
,null,Samsung,UnKnown
,Verizon,Samsung,SM-N910V
"Mozilla/5.0 (Linux; Android 6.0.1; SM-N910T3 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,T-Mobile,Samsung,SM-N910T3
"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700P Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,UnKnown
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920T Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/48.0.2564.106 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G920T
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G800H Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G800H
"Mozilla/5.0 (Linux; Android 5.1.1; SM-G530T Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/42.0.2311.137 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,T-Mobile,Samsung,SM-G530T
"Mozilla/5.0 (Linux; Android 5.0.2; SM-S920L Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-S920L
"Mozilla/5.0 (Linux; Android 4.4.4; MediaPad T1 8.0 Pro Build/HuaweiMediaPad) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Safari/537.36",,,
,null,Huawei,UnKnown
,Huawei,Huawei,MediaPad T1
"Mozilla/5.0 (Linux; Android 6.0; XT1585 Build/MCK24.78-13.16; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9256440.8487000.1)",,,
,null,null,UnKnown
,Motorola,Motorola,XT1585
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G935V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Verizon,Samsung,SM-G935V
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G928C Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
,Samsung,Samsung,SM-G928C
"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920P Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/49.0.2623.105 Mobile Safari/537.36",,,
,null,Samsung,UnKnown
